annotation_id;annotator;classification1;classification2;classification3;classification4;created_at;id;lead_time;textlabel;updated_at
14;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 16:35;16;148.31799999999998;Блок?а ты?ты? далбансы? ба);17.02.2026 18:14
15;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 16:35;17;27.479000000000003;Уверенсынба??;17.02.2026 18:15
16;1;Есть;Внешнее;Ситуативное;Русский;02.02.2026 16:35;18;21.663999999999998;Дохтыр дирехтыр калидор...вспомню тагы косармын;17.02.2026 18:15
17;1;Есть;Внешнее;Ситуативное;Казахский;02.02.2026 16:36;19;58.298;"Келін атасына: ""Вам чай с молоком?"" Атасы: ""с ним!"" ";17.02.2026 18:15
18;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 16:38;20;90.20400000000001;Каксындар роднойлар?;17.02.2026 18:15
19;1;Есть;Пограничное;Метафорическое;Казахский;02.02.2026 16:40;21;167.353;?атесіз жаз: внатуре ма. Ма б?лек еще!;17.02.2026 18:15
20;1;Есть;Внутреннее;Метафорическое;Казахский;02.02.2026 16:50;22;559.903;Ол чможе?ой;17.02.2026 18:15
21;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:04;23;864.01;Спасат ет чё т?рсы? не?маш негони пожа?ында извентиляюсь не знала;17.02.2026 18:15
22;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 17:04;24;6.321999999999999;Нормальныйма?);17.02.2026 18:15
23;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 17:06;25;91.09700000000001;Шлииии  уверенныйсы?ба деген ;17.02.2026 18:15
24;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:16;26;600.323;ДВОЙКА-ЕКЕУКА тройка- ?шеука солай кете береді...;17.02.2026 18:15
25;1;Есть;Внутреннее;Ситуативное;Русский;02.02.2026 17:16;27;24.443;Увидела надпись в магазине Напиткалар;17.02.2026 18:15
26;1;Есть;Внешнее;Ситуативное;Русский;02.02.2026 17:17;28;31.63;"Я до замужества в основном на русском общалась  а муж казакы жерден. И вот  после свадьбы летим в путешествие и я ему: как хорошо  что биз зонтик алдык  а то дождик лить етип бизди намочить етип тастайды. Он на меня смотрит и угарает: сен казир ""мен казакша сойлеп жатрм"" деп ойлап отсын ба?";17.02.2026 18:16
27;1;Есть;Пограничное;Ситуативное;Русский;02.02.2026 17:17;29;16.168;Неге нельзя  еще ?алай можно ;17.02.2026 18:16
28;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 17:19;30;11.212;Точнома ?;17.02.2026 18:16
29;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 17:20;31;9.954;Базар жок внимательнысын;17.02.2026 18:16
30;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:20;32;14.061;Неге нельзя?;17.02.2026 18:16
31;1;Есть;Внутреннее;Метафорическое;Казахский;02.02.2026 17:20;33;6.346;Жаксыбись;17.02.2026 18:16
32;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 17:20;34;15.981;На орындыке деп айтамын- орынды?ты? ?стінде ;17.02.2026 18:16
33;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:20;35;11.966999999999999;Вопще жо? па;17.02.2026 18:16
34;1;Есть;Пограничное;Метафорическое;Казахский;02.02.2026 17:24;36;257.111;Че там не істеп жатсын ;17.02.2026 18:16
35;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 17:25;37;5.1240000000000006;Каксын ?;17.02.2026 18:16
36;1;Есть;Внешнее;Ситуативное;Русский;02.02.2026 17:25;38;12.142;У нас в садике одна девочка пела песню на Новый год: Жынды белз  жынды белз;17.02.2026 18:16
37;1;Есть;Пограничное;Метафорическое;Казахский;02.02.2026 17:25;39;12.136;По идее д?рыс;17.02.2026 18:16
38;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 17:25;40;4.695;Примерно?ой);17.02.2026 18:16
39;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 17:26;41;70.942;ЛА дан жеке самолетымен ушып келеді тіке. Лешка?а жазбайды;17.02.2026 18:18
40;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:29;42;157.85399999999998;репетитор керек болса лешкама жазындар;17.02.2026 18:19
41;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:29;43;10.902999999999999;Маникюр керек па лешкама жазы?дар;17.02.2026 18:19
42;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:29;44;25.189;фотозона бойынша лешекама жазшы;17.02.2026 18:19
43;1;Есть;Внешнее;Ситуативное;Казахский;02.02.2026 17:29;45;8.988;Консультация невролога керек болса лешкама жазындар ;17.02.2026 18:19
44;1;Есть;Внешнее;Ситуативное;Казахский;02.02.2026 17:30;46;11.096;Умный дом керек болса лешкага шыгындар;17.02.2026 18:19
45;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:30;47;8.657;Тур ж?не виза бойынша лешкама жазы?ыздар;17.02.2026 18:19
46;1;Есть;Внешнее;Ситуативное;Казахский;02.02.2026 17:30;48;11.418999999999999;Интересный футболка керек болса лешкама жазындар;17.02.2026 18:19
47;1;Есть;Внешнее;Ситуативное;Казахский;02.02.2026 17:30;49;5.362;Наращивание ресниц керек болса лешкама жазындар;17.02.2026 18:19
48;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 17:30;50;4.326;Косметика керек болса лешкасына жазы?дар;17.02.2026 18:19
49;1;Есть;Внутреннее;Ситуативное;Казахский;04.02.2026 19:48;51;84.56299999999999;Тупойсынба?;17.02.2026 18:19
50;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 19:49;52;12.844;Профессионал екенiн;17.02.2026 18:19
51;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 19:49;53;19.534;"когда вместо ""сглш"" сказала ""ту кетш""";17.02.2026 18:24
52;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 19:49;54;10.638;Конечно болады ещё как;17.02.2026 18:24
53;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 19:50;55;34.866;Недеген смешно;17.02.2026 18:24
54;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 19:51;56;43.141999999999996;Точно ?ой. Б?ріміз постоянно осылай с?йлейміз ?ой даже бай?амаймыз;17.02.2026 18:24
55;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 19:55;57;270.024;Русско-казахский аралас ;17.02.2026 18:24
56;1;Есть;Внутреннее;Метафорическое;Казахский;04.02.2026 19:55;58;5.970000000000001;Жаксыбись!!!;17.02.2026 18:24
57;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 19:58;59;155.417;Самый главный тусiндikkoй айтеурi;17.02.2026 18:24
58;1;Есть;Пограничное;Метафорическое;Казахский;04.02.2026 19:58;60;7.193;Анау-мынау...короче…;17.02.2026 18:24
59;1;Есть;Внутреннее;Ситуативное;Казахский;04.02.2026 20:00;61;172.144;Соткамен звандап жатсынба ;17.02.2026 18:25
60;1;Есть;Внутреннее;Ситуативное;Казахский;04.02.2026 20:08;62;454.274;Мозгамды ширитпеш ;04.02.2026 20:08
61;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 20:08;63;21.32;Мозги екенсингой братишка ;17.02.2026 18:25
62;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:08;64;34.568999999999996;Это мен ;17.02.2026 18:26
63;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 20:09;65;22.083000000000002;Чё то сомнения бар что барасын ;17.02.2026 18:26
64;1;Есть;Внутреннее;Метафорическое;Казахский;04.02.2026 20:12;66;9.196;Нормалайсын? Жаксыбись! ;17.02.2026 18:26
65;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:12;67;6.308;Тошно гой;17.02.2026 18:26
66;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 20:13;68;23.838;весь север солай с?йлейді  ол деген нормально  привыкать еттіміз уже;17.02.2026 18:26
67;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:13;69;17.947;Не ?ой  красавчик  ?аза?ша сайрап прям);17.02.2026 18:26
68;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:13;70;10.699;Тура мен сия?ты говорит орысша;17.02.2026 18:26
69;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:13;71;41.738;Ну   прям   кызыксын гой.;17.02.2026 18:27
70;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:15;72;72.711;В конце надо было сказать Бармайсы? йоптваямать;17.02.2026 18:27
71;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 20:15;73;11.652000000000001;Здесь  одни Стэндаперлар отыр ;17.02.2026 18:27
72;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 20:15;74;48.025;Самое главное бас аман болсын;17.02.2026 18:27
73;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:15;75;7.894;я тебе русским языком говорю: бармайсын ;17.02.2026 18:27
74;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:16;76;12.004;Ну  что делать жа?дай такой....;17.02.2026 18:27
75;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:16;77;15.526;Ну неге  ну неге   Вы по-русски плохо говорите;17.02.2026 18:27
76;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 20:16;78;28.831;так и я поняла бармайтынымды..Могла бы ж?ймендеп не обижать ?ып айту?а а;17.02.2026 18:27
77;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 20:17;79;28.861;Ну давай пока хабаласамыз.или сау бол на связье .Дай кась мен істей салайын. Почему сен ты?дамайсы?. Мен са?ан сколько могу повторять.Общым ?те к?п ;17.02.2026 18:27
78;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 20:17;80;151.869;Бизде же так иногда шыгады;17.02.2026 18:30
115;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 15:43;81;16.8;Я тоже дочке говорю русским языком болмайды ;17.02.2026 18:30
79;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 20:38;82;13.724;Видя такую  кричите кетшi;17.02.2026 18:30
80;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:38;83;61.065;Шаруан болмасын  говорят обычно.;17.02.2026 18:30
81;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:39;84;16.093;Ісін болмасын можно еще сказать;17.02.2026 18:30
82;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:40;85;61.166;Нет. Это будет: Сені? к?ті?ді ашытпасын;17.02.2026 18:32
83;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:41;86;67.326;А как же старое доброе «к?tі?е кіріп т?р ма  не?”;17.02.2026 18:33
84;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 20:41;87;17.69;или мал;17.02.2026 18:33
85;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 20:41;88;9.488;@romantik_alekseevskii мал уже грубовато);17.02.2026 18:33
86;1;Нет;;;;04.02.2026 20:41;89;14.669; а талпайоп не грубовато?;17.02.2026 18:33
87;1;Есть;Пограничное;Метафорическое;Русский;04.02.2026 20:42;90;9.179;В какой момент добавляется котакбас?;17.02.2026 18:33
88;1;Есть;Пограничное;Метафорическое;Русский;04.02.2026 20:42;91;38.387;"В казахстане достаточно выучить два слова  чтобы быть своим в доску  эти два слова ""шешенамы котакбас""";17.02.2026 18:34
89;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:51;92;11.24;@ant.qz сені сікпесін убедительно звучит?;17.02.2026 18:34
90;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:51;93;18.698;Сені сікпесін будет вернее.  Переводите правильно пожалуйста! Спасибо!;17.02.2026 18:34
91;1;Есть;Внутреннее;Ситуативное;Казахский;04.02.2026 20:51;94;14.674;Концовкада  Мен ?аза?пы? ?оймайдынызба;17.02.2026 18:34
92;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:51;95;12.232;В наших краях говорят: Шата?ы? ?анша?? ;17.02.2026 18:34
93;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:51;96;773.8159999999999;Сыгин емес девушка вам самой надо учить язык ;17.02.2026 18:47
94;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 20:52;97;58.376;емес не надо добавлять ?;17.02.2026 18:47
95;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:52;98;11.164;Это не вежливо. Вежливо: «кешириниз  осы иске сиз кириспегенизге калай карайсыз»;17.02.2026 18:47
96;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 20:53;99;13.099;@cocmoum или «осы исти толыктай маган калтырынызшы»;17.02.2026 18:47
97;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 20:53;100;18.179;@highflier_panda шаруаныз болмасын это тоже невежливо. Просто без матов.;17.02.2026 18:47
98;1;Есть;Внутреннее;Ситуативное;Русский;04.02.2026 20:53;101;9.555;Рахметчик;17.02.2026 18:48
99;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:53;102;193.807;Родной шашына бірдене істесей дым ?алмапты ?ой;17.02.2026 18:53
100;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:54;103;55.795;Казахи ликбез вам! Йомортка это яйца куриные  любого животного;17.02.2026 18:53
101;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:54;104;14.341000000000001;В итоге как там с  бiр жумыртка  есть смысл продавать? ;17.02.2026 18:53
102;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:54;105;12.258000000000001;Бір секінд б?рын тиктоктан к?рдім  базар жо? синхронизация ;17.02.2026 18:53
103;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:55;106;18.56;Самохунг?тан аумайсы? мынау вообще ??самайды;17.02.2026 18:53
104;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:55;107;11.936;Чанганды сатса? сразу айфон ал;17.02.2026 18:53
105;1;Есть;Внутреннее;Ситуативное;Казахский;04.02.2026 20:55;108;16.555;Мантоваркамен тусыргенсын ба брат;17.02.2026 18:53
106;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 20:55;109;84.827;Те кто не знает перевод.. Рахмет это Спасибо!!)))));17.02.2026 18:55
107;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 20:56;110;14.56;Роза коуч деген сия?тылар?а ?намайтын шы?ар б?л кісіні? айт?андары;17.02.2026 18:55
108;1;Есть;Внешнее;Ситуативное;Русский;04.02.2026 20:56;111;198.486;Ой   как он круто сказал. И еще так приподнес . Рахмет  Алла?а сансыз ш?кір деп отырмыз.;17.02.2026 18:58
109;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 21:18;112;1317.6019999999999;Красавчик просто. Керемет;17.02.2026 18:58
110;1;Есть;Пограничное;Ситуативное;Русский;04.02.2026 21:19;113;11.399000000000001;Всё  что тебе интересно А?ша и мускулатура ;17.02.2026 18:58
111;1;Есть;Пограничное;Ситуативное;Казахский;04.02.2026 21:19;114;12.581;Брат  то?та  енді кеттік б?рін таста ;17.02.2026 18:58
112;1;Есть;Пограничное;Метафорическое;Русский;04.02.2026 21:19;115;39.147;Моя Азия катает мир  про батыра этот рассказ;17.02.2026 18:58
113;1;Есть;Пограничное;Метафорическое;Русский;04.02.2026 21:20;116;16.547;Чина братан в шапане;17.02.2026 18:58
114;1;Есть;Внешнее;Ситуативное;Казахский;04.02.2026 21:20;117;38.536;Чина братан Чингисхан Сендер ?ана?аттандырылма?анды?тары?ыздан;17.02.2026 18:59
116;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 15:43;118;20.067;Короче  Чинаны білсе?  болды К?ла? салып тында Чина братандары?ды;17.02.2026 18:59
117;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 15:44;119;53.476;Алып шы?ады любой проблемадан;17.02.2026 19:00
118;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 15:45;120;14.864;Там  здесь  к?з тимесін;17.02.2026 19:00
119;1;Есть;Пограничное;Метафорическое;Казахский;09.02.2026 15:45;121;6.849;Братишка  са?ан айтар ке?есім;17.02.2026 19:00
120;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 15:45;122;14.656;Уверенно ж?ремін десе?;17.02.2026 19:00
121;1;Есть;Пограничное;Метафорическое;Казахский;09.02.2026 15:46;123;52.498;Т?сінді? ба  братишка  мені?;17.02.2026 19:01
122;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 15:46;124;12.335999999999999;Ж?ректі ?рлады ол  ол Пой  танцуй;17.02.2026 19:01
123;1;Есть;Внутреннее;Ситуативное;Русский;09.02.2026 15:47;125;82.51;Умело скрылась от туыс?ана;17.02.2026 19:01
124;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 15:56;126;13.075000000000001;?уыс ?уыстарда  мы в поисках плана;17.02.2026 19:01
125;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 15:56;127;14.767;А  отстань  я не джентльмен Не ??гіме? Не ??гіме? ;17.02.2026 19:01
126;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 15:56;128;18.919;Шесть утра  я снова не спал Б?рі енді ?ана басталды;17.02.2026 19:02
127;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 15:57;129;12.829;Тут кто-нибудь может забрать стафф? Поехать на Таста?;17.02.2026 19:02
128;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 15:57;130;15.624;Э  все равно  кеттік  б?рін таста;17.02.2026 19:02
129;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 15:57;131;40.742000000000004;Бросай  ?кпе?ді ластайды;17.02.2026 19:02
130;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 15:58;132;64.587;Я не настаиваю  б?рі естественно;17.02.2026 19:02
131;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 15:59;133;57.818;Баста?анын ая?та?ан  аккуратно забери её  пока она стоит на ногах;17.02.2026 19:02
132;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:00;134;14.938;Чё там? Биле;17.02.2026 19:02
133;1;Есть;Внутреннее;Ситуативное;Русский;09.02.2026 16:00;135;206.84099999999998;Кто-то под солье  кто-то голый в с?укеле;17.02.2026 19:06
134;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 16:00;136;18.886;Раз шот  два шот  три ш?п;17.02.2026 19:06
135;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:01;137;65.465;Б?л бізді? менталитет ?ой б?л!;17.02.2026 19:06
136;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:01;138;8.266;?у  ?уса? интеллигентно ?у!;17.02.2026 19:06
137;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:02;139;157.234;Бізде жа?дай жаман емес ниче;17.02.2026 19:08
138;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:02;140;14.022;Енді шлиии Голивудта?ыдай емес ты чё?;17.02.2026 19:08
139;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:02;141;13.745999999999999;Бізге к?з тимесін только;17.02.2026 19:08
140;1;Есть;Пограничное;Метафорическое;Казахский;09.02.2026 16:04;142;105.459;Арманы? бар ойнап ж?рген жо?сын  білемін солай ма братишка?;17.02.2026 19:08
141;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:05;143;27.916999999999998;"Менде кейде битмейкерге ""beat-ті перебить ету керек еді"" деймін  так что м??айма братишка";17.02.2026 19:08
142;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:05;144;27.303;Заманауи интеллигенция   ?лсіз потенция;17.02.2026 19:08
143;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:05;145;164.751;Мен ?артаямын тек ?ана  когда поднимут пенсию;17.02.2026 19:11
144;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:06;146;25.777;?й аламын десен  ?ста процент из ста процентов;17.02.2026 19:11
145;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:06;147;11.802;Бізді? елде ?ана он то?ыз лям бар президентов;17.02.2026 19:11
146;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:06;148;5.445;Біреуді же?сек болды  б?кіл ?лемге пропаганда;17.02.2026 19:11
147;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 16:06;149;9.325;А?а-т?те   я сейчас в Ате;17.02.2026 19:11
148;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 16:07;150;9.913;Б?се  весь день буду занят;17.02.2026 19:11
149;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 16:07;151;5.465;Кел  это мой парад;17.02.2026 19:11
150;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 16:07;152;36.489;Я пусть и без чувств заберу тебя в лучшее место Кеттiк  б?рін таста;17.02.2026 19:11
151;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 16:07;153;11.501000000000001;К?н батты  в городе двенадцать ночи;17.02.2026 19:12
152;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 16:08;154;72.698;Сені? к?зі? говорят мне  что ты очень хочешь;17.02.2026 19:12
153;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:09;155;33.166;Айналам тол?ан ?ыздар  беттерін корчат;17.02.2026 19:12
154;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:09;156;60.509;Ма?ан жа?ындап  алып кетуге просишь;17.02.2026 19:12
155;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 16:10;157;12.485;Я с раннего утра уже на движняках  for my?жігіттер;17.02.2026 19:12
156;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 16:10;158;7.704;Тут все изменит?один день к?ті?ді?к?тер;17.02.2026 19:13
157;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:10;159;195.474;Жала? ая? немесе аппа? кроссовки;17.02.2026 19:16
158;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:10;160;8.526;А?ша таба аламын без всякой уголовки;17.02.2026 19:16
159;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:10;161;7.9959999999999996;Ескертті ?ой сені Не мочи манту жаман болады деп;17.02.2026 19:16
160;1;Есть;Пограничное;Метафорическое;Русский;09.02.2026 16:10;162;8.781;Так  джай  для кентов;17.02.2026 19:16
161;1;Есть;Пограничное;Метафорическое;Русский;09.02.2026 16:11;163;39.796;Это как 2002-ые в городе шым;17.02.2026 19:16
162;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:11;164;9.062;Кумарить етем как Wu-Tang Clan!;17.02.2026 19:16
163;1;Есть;Внутреннее;Ситуативное;Казахский;09.02.2026 16:11;165;12.325;Звондайды через Samsung;17.02.2026 19:16
164;1;Есть;Внешнее;Ситуативное;Русский;09.02.2026 16:11;166;13.5;Можно заказать горячую самсу? Там ау-мау танысу;17.02.2026 19:16
165;1;Есть;Пограничное;Метафорическое;Русский;09.02.2026 16:12;167;6.245;Танцуем как на ?ыз ?зату!;17.02.2026 19:16
166;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 16:12;168;24.993000000000002;?зі?ше пиздец аналитик;17.02.2026 19:16
167;1;Есть;Пограничное;Метафорическое;Русский;09.02.2026 16:12;169;38.474000000000004;Бата берем это баталити;17.02.2026 19:17
168;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 16:12;170;7.235;Бізде жёсткий аппетит!;17.02.2026 19:17
169;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:12;171;9.079;Сезінемін себя как Kim Jong-Un;17.02.2026 19:17
170;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:16;172;213.99300000000002;Мені? ?ызым баще чем Sonya Blade;17.02.2026 19:17
171;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:23;173;28.618000000000002;Очки киіп алдым как Johnny Cage;17.02.2026 19:17
172;1;Есть;Пограничное;Метафорическое;Казахский;09.02.2026 16:23;174;23.157;Аигетч! Жарасама брат?;17.02.2026 19:17
173;1;Есть;Пограничное;Метафорическое;Русский;09.02.2026 16:24;175;52.484;Анда-санда брат!;17.02.2026 19:17
174;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:24;176;23.753999999999998;Ерте? ??гіме болмасын как бы;17.02.2026 19:18
175;1;Нет;;;;09.02.2026 16:24;177;10.243;А то вперёд назад Б;09.02.2026 16:24
176;1;Есть;Пограничное;Метафорическое;Русский;09.02.2026 16:24;178;17.298000000000002;Через К?к-Т?бе;17.02.2026 19:18
177;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:24;179;11.95;Либо ?аскеле?!;17.02.2026 19:18
178;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:25;180;87.691;Ж?ргем на движений;17.02.2026 19:19
179;1;Есть;Пограничное;Ситуативное;Казахский;09.02.2026 16:30;181;281.214;Деньги  деньги бері келі?дер;17.02.2026 19:19
180;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:30;182;23.052999999999997;Кент болсын  мент болсын давай общаться;17.02.2026 19:19
181;1;Есть;Внешнее;Ситуативное;Казахский;09.02.2026 16:32;183;146.17999999999998;Мен дейті?дер болса давай общаться;17.02.2026 19:19
182;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 16:32;184;7.818;Только мой пыша?;17.02.2026 19:20
183;1;Есть;Пограничное;Ситуативное;Русский;09.02.2026 16:33;185;6.553;Нет-нет страховаться етiп;17.02.2026 19:20
